TRID,transname,gradetype,gradename,typename,typeid,ReasonID,
C101001,新卡激活,2,新卡激活,新卡,101,40001,
C101002,申请件进度查询,1,申请进度查询,新卡,101,20001,
C102001,信用卡额度查询,1,账单及额度查询,信用卡,102,20002,
C102002,信用卡交易明细查询,1,交易明细查询,信用卡,102,20003,
C102003,信用卡帐期列表查询,1,账单及额度查询,信用卡,102,20002,
C102004,信用卡对账单信息查询,1,账单及额度查询,信用卡,102,20002,
C102005,信用卡状态查询,1,卡片状态/账户状态查询,信用卡,102,20009,
C102006,信用卡账单查询,1,账单及额度查询,信用卡,102,20002,
C102007,地址汇总查询,1,账户资料查询,信用卡,102,20004,
C103001,重制密码信,2,重制密码信,,103,,
C103002,对账单重置,2,对账单重置,,103,,
C103002,重制对账单,2,重制对账单,,103,10010,
C103003,重制卡服务申请,2,重制卡片,,103,10003,
C103004,重置对账单查询,2,对账单重置,,103,,
C103005,白金卡个人理财报表重置,2,卡片功能及使用,,103,30002,
C103006,重置白金卡个人理财报表查询,2,卡片功能及使用,,103,30002,
C103007,重制纸质对账单（澳门）,2,重制对账单,,103,10010,
C104001,查询密码修改,2,重制电话查询密码,,104,10002,
C104002,调整卡户信息,2,变更个人资料,,104,10004,
C104003,重置查询密码,2,重制电话查询密码,,104,10002,
C104004,非中行客户新增,2,非中行客户新增,,104,,
C104005,非中行客户修改,2,非中行客户修改,,104,,
C104006,临时对账单修改,2,对账单重置,,104,,
C104008,地址信息修改,2,变更个人资料,,104,10004,
C104009,手机号码修改,2,变更个人资料,,104,10004,
C105001,挂失信用卡,2,挂失服务,,105,40002,
C105002,挂失后补卡,2,挂失后补卡,,105,40003,
C105003,PP卡挂失,2,挂失服务,,105,40002,
C105004,PP卡挂失后补卡,2,挂失后补卡,,105,40003,
C106001,密码信邮寄方式查询,1,账户资料查询,,106,20004,
C106002,积分查询,1,积分查询,,106,70002,
C106003,主附卡关系查询,1,账户资料查询,,106,20004,
C106005,费用免除情况查询,1,账单及额度查询,,106,20002,
C106007,卡片临时挂失与解临挂,2,临时挂失与解挂,,106,10011,
C106009,提前续卡,2,提前换卡申请,,106,60005,
C106010,POS门槛金额查询,1,POS门槛金额查询,,106,,
C106011,POS门槛金额设置,2,POS门槛金额设置,,106,10012,
C106012,短信验证门槛金额查询,1,短信验证门槛金额查询,,106,,
C106013,短信验证门槛金额设置,2,短信难门槛金额设置,,106,10013,
C106015,ATM密码重置,2,重制取现与消费密码,,106,10001,
C106020,金融历史查询,1,金融历史查询,,106,,
C106022,卡片冻结,2,冻结/解冻卡,,106,40004,
C106023,卡片解冻,2,冻结/解冻卡,,106,40004,
C107001,授权,2,授权,,107,,
C107002,授权查询,1,授权查询,,107,,
C107003,授权撤销,2,授权撤销,,107,,
C107004,信用卡授权查询,1,信用卡授权查询,,107,,
C107005,信用卡授权明细查询,1,信用卡授权明细查询,,107,,
C107006,授权摘要查询,1,授权摘要查询,,107,,
C108001,卡片停用,2,卡片功能及使用,,108,30002,
C108002,紧急补偿现金,2,紧急补偿现金,,108,,
C108003,挂失后补卡,2,挂失后补卡,,108,40003,
C108004,查询还款信息,1,账单及额度查询,,108,20002,
C108005,调整还款信息,2,调整还款信息,,108,,
C108006,小额费用调整申请,2,费用调整申请,,108,60003,
C108007,紧急补偿卡,2,紧急补偿卡,,108,,
C108008,紧急补偿卡查询,1,紧急补偿卡查询,,108,,
C108009,小额费用调整,2,费用调整申请,,108,60003,
C108010,额度调整历史记录查询,1,账单及额度查询,,108,20002,
C108014,销卡（预关闭帐户申请）,2,销卡（预关闭账户申请）,,108,,
C108015,短信收费包设定,2,短信收费包设定,,108,,
C108016,已定制短信收费包查询,1,已定制短信收费包查询,,108,,
C108017,上行短信签约,2,上行短信签约,,108,,
C108018,上行短信签约校验,2,上行短信签约校验,,108,,
C108020,签约关系及关联产品查询,1,签约关系及关联产品查询,,108,,
C108021,综合查询,1,综合查询,,108,,
C109007,ATM密码重置,2,重制取现与消费密码,,109,10001,
C109008,ATM密码重置,2,重制取现与消费密码,,109,10001,
C109101,查询卡及账户状态,1,卡片状态/账户状态查询,,109,20009,
C109102,设置帐户状态,2,设置账户状态,,109,,
C109103,查询汇率,1,查询汇率,,109,,
C109104,查询本期账单以及最小还款额,1,账单及额度查询,,109,20002,
C109105,购汇还款,2,电话购汇,,109,10008,
C109106,查询自动还款信息,1,还款方式查询,,109,20007,
C109107,更改当期账单自动还款金额,2,自动还款设置,,109,10014,
C109203,查询汇率,1,查询汇率,,109,,
C109204,查询本期账单以及最小还款额,1,账单及额度查询,,109,20002,
C109205,购汇还款,2,电话购汇,,109,10008,
C109206,查询自动还款信息,1,账单及额度查询,,109,20002,
C109207,更改当期账单自动还款金额,2,自动还款设置,,109,10014,
C110001,分期付款授权,2,分期付款,,110,10007,
C110002,分期付款授权撤销,2,分期付款,,110,10007,
C110003,分期付款计划查询,1,还款方式查询,,110,20007,
C110007,机构分期付款规则查询,1,分期付款,,110,10007,
C110011,账单可分期金额查询,1,账单及额度查询,,110,20002,
C110012,账单分期,2,分期付款,,110,10007,
C110013,账单分期手续费查询,1,账单及额度查询,,110,20002,
C111006,授权登记,2,授权登记,,111,,
C112007,结清查询,1,账单及额度查询,,112,20002,
C113002,附属卡电子账单设置和查询,2,电子账单,,113,10006,
C113006,账单寄送方式设置和查询,2,变更个人资料,,113,10004,
C114002,个金客户信息查询,1,账户资料查询,,114,20004,
C114003,查询网站用户名,1,积分网站查询,,114,70012,
C114004,总积分和可用积分查询,1,积分查询,,114,70002,
C114005,产品分类积分查询,1,积分查询,,114,70002,
C114005A,综合产品查询,1,综合产品查询,,114,,
C114006,按效期归类查询积分,1,积分查询,,114,70002,
C114007,积分历史查询,1,积分查询,,114,70002,
C114008,查询卡片扣减顺序,1,卡片功能及使用,,114,30002,
C114009,调整卡片扣减顺序,2,卡片功能及使用,,114,30002,
C114010,调整客户积分,2,调整客户积分,,114,,
C114011,礼品专区或分类查询,1,礼品查询,,114,70003,
C114012,礼品信息查询,1,礼品查询,,114,70003,
C114012A,礼品信息查询,1,礼品查询,,114,70003,
C114013,查询礼品详细信息,1,礼品查询,,114,70003,
C114014,积分兑换礼品,2,积分兑换礼品,,114,70004,
C114015,订单查询,1,订单查询,,114,70009,
C114015A,订单查询,1,订单查询,,114,70009,
C114016,按订单号查询订单信息,1,订单查询,,114,70009,
C114017,订单寄送地址查询,1,订单查询,,114,70009,
C114018,新增订单寄送地址,2,新增订单寄送地址,,114,,
C114019,订单状态修改,2,订单状态修改,,114,,
C114021,航空会员号查询,1,航班会员号业务,,114,70010,
C114022,航空会员号修改,2,航班会员号业务,,114,70010,
C114023,航空会员号新增,2,航班会员号业务,,114,70010,
C114024,礼品兑换冲正,2,礼品兑换冲正,,114,,
C114025,产品分类积分明细查询,1,积分查询,,114,70002,
C114027,产品分类积分查询,1,积分查询,,114,70002,
C114028,机场贵宾厅服务次数查询,1,机场贵宾厅服务次数查询,,114,,
C114029,手动添加航空会员关系,2,航空会员号业务,,114,70010,
C114031,查询客户增值服务信息,1,查询客户增值服务信息,,114,,
C114032,修改客户增值服务信息,2,个性客户增值服务信息,,114,,
C114033,查询客户增值服务明细交易,1,查询客户增值服务明细交易,,114,,
C114034,修改客户增值服务明细交易,2,个性客户增值服务明细交易,,114,,
C114035,添加客户增值服务明细交易,2,添加客户增值服务明细交易,,114,,
C114036,短信礼品短信重发,2,短信礼品短信重发,,114,,
C114037,尊享产品分类积分列表查询,1,积分查询,,114,70002,
C114038,尊享积分历史查询,1,积分查询,,114,70002,
C114039,效期归类尊享积分余额查询,1,积分查询,,114,70002,
C114040,尊享产品分类积分明细查询,1,积分查询,,114,70002,
C114041,营销/增值服务礼品兑换,2,积分兑换礼品,,114,70004,
C114042,增值服务礼品查询,1,礼品查询,,114,70003,
C114043,按编号查询增值服务礼品详细信息,1,礼品查询,,114,70003,
