ID,TYPEID,DES,FLAG,ISCSR,ISPTC,SHUNXU
120002,12000,微信客服其余功能咨询,Y,Y,Y,120002
120003,12000,微信客服意见反馈,Y,Y,Y,120003
130001,13000,Branch Enquiry,Y,Y,Y,130001
130002,13000,Collection Memo,Y,Y,Y,130002
130003,13000,CP Memo,Y,Y,Y,130003
130004,13000,CA Memo,Y,Y,Y,130004
80014,8000,中银保险业务受理,Y,Y,Y,80014
80015,8000,理财机场贵宾厅预订,Y,Y,Y,80015
80016,8000,中银私人秘书,Y,Y,Y,80016
80017,8000,银联小秘书转接,Y,Y,Y,80017
80018,8000,税务和法律咨询,Y,Y,Y,80018
80019,8000,无限卡高尔夫、网球预订,Y,Y,Y,80019
80020,8000,国际ISOS转接,Y,Y,Y,80020
100001,10000,解冻或销户,Y,Y,Y,100001
100002,10000,解停用,Y,Y,Y,100002
100003,10000,营销活动,Y,Y,Y,100003
100004,10000,投诉分行,Y,Y,Y,100004
100005,10000,分行增额,Y,Y,Y,100005
100006,10000,分行补资料,Y,Y,Y,100006
100007,10000,其他,Y,Y,Y,100007
110001,11000,虚拟卡申请,Y,Y,Y,110001
110002,11000,虚拟卡信息查询,Y,Y,Y,110002
110003,11000,虚拟卡信息修改,Y,Y,Y,110003
110004,11000,虚拟卡注销,Y,Y,Y,110004
110005,11000,虚拟卡短信通知,Y,Y,Y,110005
110006,11000,虚拟卡查询实体卡,Y,Y,Y,110006
110007,11000,实体卡查询虚拟卡,Y,Y,Y,110007
110008,11000,缤纷生活咨询,Y,Y,Y,110008
110009,11000,缤纷生活密码解锁,Y,Y,Y,110009
110010,11000,缤纷生活密码重置,Y,Y,Y,110010
110011,11000,缤纷生活用户注销,Y,Y,Y,110011
90001,9000,QCC业务,Y,Y,Y,90001
90002,9000,客户建议,Y,Y,Y,90002
90003,9000,客户投诉,Y,Y,Y,90003
90004,9000,非白金卡客户,Y,Y,Y,90004
90005,9000,服务历史查询,Y,Y,Y,90005
90006,9000,淘宝业务,Y,Y,Y,90006
90007,9000,需跟进,Y,Y,Y,90007
